nodeId,commHash,commId,rank,nRanks,pid
005078,0x2d781de58a6079e7,0xe7d12636594460c0,70,128,289667
005078,0x2d781de58a6079e7,0xe7d12636594460c0,69,128,289666
005078,0x2d781de58a6079e7,0xe7d12636594460c0,68,128,289665
005078,0x3bcc3bbbac7236b6,0x1a9018506201ed95,0,1,289666
005078,0xb5409b7e746bc405,0xebb753bcae43857b,0,1,289665
005078,0xcc8de61552e753a2,0x9fdb85f1d34d2d48,0,1,289667
005078,0x714786ec509a41b7,0xc1fee17f7604549d,0,1,289669
005099,0x5536c7d9bd44d567,0x68397d93bb6f627d,127,128,182169
005099,0x5536c7d9bd44d567,0x68397d93bb6f627d,124,128,182166
005099,0x5536c7d9bd44d567,0x68397d93bb6f627d,125,128,182167
005099,0x5536c7d9bd44d567,0x68397d93bb6f627d,126,128,182168
005099,0xa9ab5875fb37ec08,0x2d0abf3fe348ff10,0,1,182166
005099,0x3ea5843551f3d6d4,0x3a5592e0a1902a79,0,1,182168
005099,0x55505630785a19d9,0x2e5757c3ea1ed99b,0,1,182169
005099,0xab19590b2443f479,0xde4f42ba595d793e,0,1,182167
005099,0x2d781de58a6079e7,0xe7d12636594460c0,127,128,182169
005099,0x2d781de58a6079e7,0xe7d12636594460c0,126,128,182168
005099,0x2d781de58a6079e7,0xe7d12636594460c0,125,128,182167
005099,0x2d781de58a6079e7,0xe7d12636594460c0,124,128,182166
005099,0x936b578129a9ca0f,0xfee2bb8e9c1ec3f5,0,1,182169
005099,0x659d44ce7dc019c3,0x74645ab5affa8140,0,1,182167
005099,0x51b82ea76671af16,0x3c3392aba3e73712,0,1,182168
005099,0xe673c3a9de374f7e,0x6d51d207d26a79de,0,1,182166
005079,0x5536c7d9bd44d567,0x68397d93bb6f627d,73,128,269258
005079,0x5536c7d9bd44d567,0x68397d93bb6f627d,72,128,269257
005079,0x5536c7d9bd44d567,0x68397d93bb6f627d,74,128,269259
005079,0x5536c7d9bd44d567,0x68397d93bb6f627d,75,128,269260
005079,0x6e8d79155c0254ba,0x62a02e00651fe313,0,1,269257
005079,0xca62fa5125d5521e,0xad613bfb54a14391,0,1,269259
005079,0x4a27c29efbf47da7,0x386daa57fba49671,0,1,269258
005079,0x814ea62be2c93f5e,0x4deae41ea2f83c94,0,1,269260
005079,0x2d781de58a6079e7,0xe7d12636594460c0,72,128,269257
