L_ns,L_us,runtime_ns,runtime_ms,runtime_s
665000.0,665.0,14883546939.400063,14883.546939400063,14.883546939400063
670000.0,670.0,14939756939.400063,14939.756939400062,14.939756939400063
675000.0,675.0,14995966939.400063,14995.966939400063,14.995966939400063
680000.0,680.0,15052176939.400063,15052.176939400062,15.052176939400063
685000.0,685.0,15108386939.400063,15108.386939400063,15.108386939400063
690000.0,690.0,15164596939.400063,15164.596939400062,15.164596939400063
695000.0,695.0,15220806939.400063,15220.806939400063,15.220806939400063
700000.0,700.0,15277016939.400063,15277.016939400062,15.277016939400063
705000.0,705.0,15333226939.400063,15333.226939400063,15.333226939400063
710000.0,710.0,15389436939.400063,15389.436939400062,15.389436939400063
715000.0,715.0,15445646939.400063,15445.646939400063,15.445646939400062
720000.0,720.0,15501856939.400063,15501.856939400062,15.501856939400062
725000.0,725.0,15558066939.400063,15558.066939400063,15.558066939400062
730000.0,730.0,15614276939.400063,15614.276939400062,15.614276939400062
735000.0,735.0,15670486939.400063,15670.486939400063,15.670486939400062
740000.0,740.0,15726696939.400063,15726.696939400063,15.726696939400062
745000.0,745.0,15782906939.400063,15782.906939400062,15.782906939400062
750000.0,750.0,15839116939.400063,15839.116939400063,15.839116939400062
755000.0,755.0,15895326939.400063,15895.326939400062,15.895326939400062
760000.0,760.0,15951536939.400063,15951.536939400063,15.951536939400063
765000.0,765.0,16007746939.400063,16007.746939400062,16.00774693940006
770000.0,770.0,16063956939.400063,16063.956939400063,16.06395693940006
775000.0,775.0,16120166939.400063,16120.166939400062,16.12016693940006
780000.0,780.0,16176376939.400063,16176.376939400063,16.17637693940006
785000.0,785.0,16232586939.400063,16232.586939400062,16.23258693940006
790000.0,790.0,16288796939.400063,16288.796939400063,16.28879693940006
795000.0,795.0,16345006939.400063,16345.006939400062,16.34500693940006
800000.0,800.0,16401216939.400063,16401.216939400063,16.40121693940006
805000.0,805.0,16457426939.400063,16457.426939400062,16.45742693940006
810000.0,810.0,16513636939.400063,16513.63693940006,16.51363693940006
815000.0,815.0,16569846939.400063,16569.846939400064,16.569846939400062
820000.0,820.0,16626056939.400063,16626.056939400063,16.626056939400062
825000.0,825.0,16682266939.400063,16682.266939400062,16.682266939400062
830000.0,830.0,16738476939.400063,16738.47693940006,16.738476939400062
835000.0,835.0,16794686939.400063,16794.686939400064,16.794686939400062
840000.0,840.0,16850896939.400063,16850.896939400063,16.850896939400062
845000.0,845.0,16907106939.400063,16907.106939400062,16.907106939400062
850000.0,850.0,16963316939.400063,16963.31693940006,16.963316939400062
855000.0,855.0,17019526939.400063,17019.526939400064,17.019526939400063
860000.0,860.0,17075736939.400063,17075.736939400063,17.075736939400063
865000.0,865.0,17131946939.400063,17131.946939400063,17.131946939400063
870000.0,870.0,17188156939.400063,17188.15693940006,17.188156939400063
875000.0,875.0,17244366939.400063,17244.36693940006,17.244366939400063
880000.0,880.0,17300576939.400063,17300.576939400064,17.300576939400063
885000.0,885.0,17356786939.400063,17356.786939400063,17.356786939400063
890000.0,890.0,17412996939.400063,17412.996939400062,17.412996939400063
895000.0,895.0,17469206939.400063,17469.20693940006,17.469206939400063
900000.0,900.0,17525416939.400063,17525.416939400064,17.525416939400063
905000.0,905.0,17581626939.400063,17581.626939400063,17.581626939400063
910000.0,910.0,17637836939.400063,17637.836939400062,17.637836939400064
915000.0,915.0,17694046939.400063,17694.04693940006,17.694046939400064
920000.0,920.0,17750256939.400063,17750.256939400064,17.750256939400064
925000.0,925.0,17806466939.400063,17806.466939400063,17.806466939400064
930000.0,930.0,17862676939.400063,17862.676939400062,17.862676939400064
935000.0,935.0,17918886939.400063,17918.88693940006,17.918886939400064
940000.0,940.0,17975096939.400063,17975.096939400064,17.975096939400064
945000.0,945.0,18031306939.400063,18031.306939400063,18.031306939400064
